"","state","x","y"
"47","NY",2151642.94089592,-128082.343197338
"48","CO",-420736.837021497,-679035.673477993
"49","GA",1394936.86310641,-1073754.32455705
"50","TX",311866.462255767,-1344648.96530201
"51","MI",1255858.99490545,-136248.11224072
"52","TN",1142197.2645851,-924513.316191427
"53","PA",1948352.85436031,-278838.44844882
"54","OR",-1751279.92249662,308760.353830707
"55","SC",1587438.02891043,-1002066.43716179
"56","AZ",-1141744.16036129,-1189482.59139041
"57","CA",-1665205.58767981,-1061636.61937161
"58","FL",1723607.88954377,-1718834.23270964
"59","OH",1608131.81901259,-357487.926343581
"60","FL",1708426.57118013,-1509711.30657054
"61","IL",1002517.92809858,-272406.930916231
"62","CA",-1635467.03788848,-1078296.22505158
"63","MO",837351.304691362,-700766.964862918
"64","NJ",2118718.14785021,-174439.955019101
"65","TX",149383.205190093,-1586830.35722368
"66","OH",1376504.48502367,-453811.075470614
"67","VA",1922999.10265198,-565357.726687899
"68","WI",858053.715612944,-164409.530891999
"69","IN",1211661.65301693,-348761.173658385
"70","WI",976624.308666124,-145547.489851978
"71","TX",-48290.1294109922,-1607886.99247314
"72","FL",1787805.70582354,-1818255.12498252
"73","IL",991945.836990758,-474363.201785819
"74","CA",-1843991.93756802,-536856.642930668
"75","CA",-1665744.10795299,-1054688.45992415
"76","FL",1796220.30795907,-1855922.73438097
"77","CA",-1914486.85624235,-600138.489442218
"78","MI",1372732.63954775,-163974.745084909
