"","name","country.etc","pop","lat","long","capital","x","y","city"
"385","Harrisonburg VA","VA",41992,38.44,-78.87,0,1818893.94412282,-496062.465109376,"Harrisonburg"
"386","Hartford CT","CT",123836,41.77,-72.68,2,2214518.44674743,16050.6248768637,"Hartford"
"387","Hattiesburg MS","MS",48728,31.31,-89.31,0,1019645.95079702,-1455237.22608048,"Hattiesburg"
"388","Haverhill MA","MA",61928,42.78,-71.09,0,2298500.76107479,168036.406671246,"Haverhill"
"389","Hawthorne CA","CA",87677,33.91,-118.35,0,-1685142.94380002,-1048145.02317831,"Hawthorne"
"390","Hayward CA","CA",140704,37.63,-122.1,0,-1922182.09478793,-562102.866352548,"Hayward"
"391","Helena MT","MT",27383,46.6,-112.03,2,-914894.315153473,246548.685875471,"Helena"
"392","Hemet CA","CA",71300,33.73,-117,0,-1566858.06564387,-1093760.31037085,"Hemet"
"393","Hempstead NY","NY",52769,40.7,-73.62,0,2178279.88221213,-123864.886262968,"Hempstead"
"394","Henderson NV","NV",255646,36.03,-115,0,-1344209.55113735,-876183.87171749,"Henderson"
"395","Hendersonville TN","TN",45358,36.29,-86.6,0,1198207.74068488,-871842.106609637,"Hendersonville"
"396","Hesperia CA","CA",75966,34.42,-117.3,0,-1580098.79926537,-1012693.43321135,"Hesperia"
"397","Hialeah FL","FL",224644,25.86,-80.3,0,1978888.97053272,-1896011.54120072,"Hialeah"
"398","Hickory NC","NC",40968,35.74,-81.33,0,1673571.63944114,-841920.944664034,"Hickory"
"399","Hicksville NY","NY",41452,40.76,-73.53,0,2183345.02451469,-115023.514289365,"Hicksville"
